Average,Sales,Type
0,0.0,Game
1,0.0,Game
2,0.0,Game
3,387.59999999999997,Game
4,1846.8000000000004,Game
5,1181.9999999999995,Game
6,8043.600000000002,Game
7,11340.600000000006,Game
8,11791.200000000003,Game
9,12185.400000000001,Game
10,16620.000000000007,Game
11,10533.000000000002,Game
12,14802.6,Game
13,22748.40000000001,Game
14,21097.8,Game
15,14424.600000000004,Game
16,13801.2,Game
17,17565.0,Game
18,15981.600000000004,Game
19,12757.200000000015,Game
20,9739.8,Game
21,9873.6,Game
22,8341.199999999999,Game
23,12936.599999999997,Game
24,10284.600000000004,Game
25,14972.399999999994,Game
26,13014.599999999997,Game
27,10237.800000000001,Game
28,6163.799999999999,Game
29,8795.400000000001,Game
30,13639.2,Game
31,4701.599999999999,Game
32,4556.4,Game
33,4070.3999999999987,Game
34,5189.999999999999,Game
35,4493.4,Game
36,4816.199999999999,Game
37,3008.3999999999996,Game
38,3712.1999999999994,Game
39,4010.3999999999996,Game
40,2644.200000000001,Game
41,3287.3999999999996,Game
42,1464.6,Game
43,2674.2,Game
44,2225.9999999999995,Game
45,1884.0000000000002,Game
46,1068.6,Game
47,283.8,Game
48,227.4,Game
49,450.6,Game
50,222.0,Game
