Year,Genre,Critic_Score,User_Score
1978,Shooter     ,NA  ,NA  
1980,Adventure   ,NA  ,NA  
1980,Fighting    ,NA  ,NA  
1980,Misc        ,NA  ,NA  
1980,Misc        ,NA  ,NA  
1980,Shooter     ,NA  ,NA  
1980,Shooter     ,NA  ,NA  
1980,Sports      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Action      ,NA  ,NA  
1981,Platform    ,NA  ,NA  
1981,Platform    ,NA  ,NA  
1981,Platform    ,NA  ,NA  
1981,Puzzle      ,NA  ,NA  
1981,Puzzle      ,NA  ,NA  
1981,Racing      ,NA  ,NA  
1981,Shooter     ,NA  ,NA  
1981,Shooter     ,NA  ,NA  
1981,Shooter     ,NA  ,NA  
1981,Shooter     ,NA  ,NA  
1981,Shooter     ,NA  ,NA  
1981,Shooter     ,NA  ,NA  
1981,Shooter     ,NA  ,NA  
1981,Simulation  ,NA  ,NA  
1982,Action      ,NA  ,NA  
1982,Action      ,NA  ,NA  
1982,Action      ,NA  ,NA  
1982,Action      ,NA  ,NA  
1982,Action      ,NA  ,NA  
1982,Action      ,NA  ,NA  
1982,Misc        ,NA  ,NA  
1982,Platform    ,NA  ,NA  
1982,Platform    ,NA  ,NA  
1982,Platform    ,NA  ,NA  
1982,Platform    ,NA  ,NA  
1982,Platform    ,NA  ,NA  
1982,Puzzle      ,NA  ,NA  
1982,Puzzle      ,NA  ,NA  
1982,Puzzle      ,NA  ,NA  
1982,Racing      ,NA  ,NA  
1982,Racing      ,NA  ,NA  
1982,Shooter     ,NA  ,NA  
1982,Shooter     ,NA  ,NA  
1982,Shooter     ,NA  ,NA  
1982,Shooter     ,NA  ,NA  
1982,Shooter     ,NA  ,NA  
1982,Sports      ,NA  ,NA  
1982,Sports      ,NA  ,NA  
1983,Action      ,NA  ,NA  
1983,Action      ,NA  ,NA  
1983,Action      ,NA  ,NA  
1983,Adventure   ,NA  ,NA  
1983,Misc        ,NA  ,NA  
1983,Platform    ,NA  ,NA  
1983,Platform    ,NA  ,NA  
1983,Platform    ,NA  ,NA  
1983,Platform    ,NA  ,NA  
1983,Platform    ,NA  ,NA  
1983,Puzzle      ,NA  ,NA  
1983,Shooter     ,NA  ,NA  
1983,Sports      ,NA  ,NA  
1984,Action      ,NA  ,NA  
1984,Misc        ,NA  ,NA  
1984,Platform    ,NA  ,NA  
1984,Puzzle      ,NA  ,NA  
1984,Puzzle      ,NA  ,NA  
1984,Puzzle      ,NA  ,NA  
1984,Racing      ,NA  ,NA  
1984,Racing      ,NA  ,NA  
1984,Shooter     ,NA  ,NA  
1984,Shooter     ,NA  ,NA  
1984,Shooter     ,NA  ,NA  
1984,Sports      ,NA  ,NA  
1984,Sports      ,NA  ,NA  
1985,Action      ,NA  ,NA  
1985,Fighting    ,NA  ,NA  
1985,Platform    ,NA  ,NA  
1985,Platform    ,NA  ,NA  
1985,Platform    ,NA  ,NA  
1985,Platform    ,NA  ,NA  
1985,Puzzle      ,NA  ,NA  
1985,Puzzle      ,NA  ,NA  
1985,Puzzle      ,NA  ,NA  
1985,Puzzle      ,NA  ,NA  
1985,Shooter     ,NA  ,NA  
1985,Sports      ,NA  ,NA  
1986,Action      ,NA  ,NA  
1986,Action      ,NA  ,NA  
1986,Action      ,NA  ,NA  
1986,Action      ,NA  ,NA  
1986,Action      ,NA  ,NA  
1986,Action      ,NA  ,NA  
1986,Platform    ,NA  ,NA  
1986,Platform    ,NA  ,NA  
1986,Platform    ,NA  ,NA  
1986,Platform    ,NA  ,NA  
1986,Platform    ,NA  ,NA  
1986,Platform    ,NA  ,NA  
1986,Racing      ,NA  ,NA  
1986,Role-Playing,NA  ,NA  
1986,Shooter     ,NA  ,NA  
1986,Shooter     ,NA  ,NA  
1986,Shooter     ,NA  ,NA  
1986,Sports      ,NA  ,NA  
1986,Sports      ,NA  ,NA  
1987,Action      ,NA  ,NA  
1987,Action      ,NA  ,NA  
1987,Adventure   ,NA  ,NA  
1987,Fighting    ,NA  ,NA  
1987,Fighting    ,NA  ,NA  
1987,Platform    ,NA  ,NA  
1987,Platform    ,NA  ,NA  
1987,Role-Playing,NA  ,NA  
1987,Role-Playing,NA  ,NA  
1987,Role-Playing,NA  ,NA  
1987,Shooter     ,NA  ,NA  
1987,Sports      ,NA  ,NA  
1987,Sports      ,NA  ,NA  
1988,Action      ,NA  ,NA  
1988,Platform    ,NA  ,NA  
1988,Platform    ,NA  ,NA  
1988,Platform    ,NA  ,NA  
1988,Platform    ,NA  ,NA  
1988,Puzzle      ,NA  ,NA  
1988,Racing      ,NA  ,NA  
1988,Role-Playing,NA  ,NA  
1988,Role-Playing,NA  ,NA  
1988,Role-Playing,NA  ,NA  
1988,Shooter     ,NA  ,NA  
1988,Sports      ,NA  ,NA  
1988,Sports      ,NA  ,NA  
1989,Action      ,NA  ,NA  
1989,Action      ,NA  ,NA  
1989,Misc        ,NA  ,NA  
1989,Platform    ,NA  ,NA  
1989,Platform    ,NA  ,NA  
1989,Platform    ,NA  ,NA  
1989,Puzzle      ,NA  ,NA  
1989,Puzzle      ,NA  ,NA  
1989,Puzzle      ,NA  ,NA  
1989,Role-Playing,NA  ,NA  
1989,Role-Playing,NA  ,NA  
1989,Shooter     ,NA  ,NA  
1989,Sports      ,NA  ,NA  
1989,Sports      ,NA  ,NA  
1989,Sports      ,NA  ,NA  
1990,Action      ,NA  ,NA  
1990,Action      ,NA  ,NA  
1990,Action      ,NA  ,NA  
1990,Platform    ,NA  ,NA  
1990,Platform    ,NA  ,NA  
1990,Platform    ,NA  ,NA  
1990,Puzzle      ,NA  ,NA  
1990,Puzzle      ,NA  ,NA  
1990,Racing      ,NA  ,NA  
1990,Racing      ,NA  ,NA  
1990,Role-Playing,NA  ,NA  
1990,Role-Playing,NA  ,NA  
1990,Simulation  ,NA  ,NA  
1990,Sports      ,NA  ,NA  
1991,Action      ,NA  ,NA  
1991,Action      ,NA  ,NA  
1991,Action      ,NA  ,NA  
1991,Adventure   ,NA  ,NA  
1991,Adventure   ,NA  ,NA  
1991,Fighting    ,NA  ,NA  
1991,Platform    ,NA  ,NA  
1991,Platform    ,NA  ,NA  
1991,Platform    ,NA  ,NA  
1991,Platform    ,NA  ,NA  
1991,Puzzle      ,NA  ,NA  
1991,Puzzle      ,NA  ,NA  
1991,Puzzle      ,NA  ,NA  
1991,Racing      ,NA  ,NA  
1991,Role-Playing,NA  ,NA  
1991,Role-Playing,NA  ,NA  
1991,Shooter     ,NA  ,NA  
1991,Simulation  ,NA  ,NA  
1991,Sports      ,NA  ,NA  
1991,Sports      ,NA  ,NA  
1992,Action      ,NA  ,NA  
1992,Adventure   ,NA  ,NA  
1992,Adventure   ,NA  ,NA  
1992,Fighting    ,NA  ,NA  
1992,Fighting    ,NA  ,NA  
1992,Fighting    ,NA  ,NA  
1992,Fighting    ,NA  ,NA  
1992,Fighting    ,NA  ,NA  
1992,Misc        ,NA  ,NA  
1992,Misc        ,NA  ,NA  
1992,Platform    ,NA  ,NA  
1992,Platform    ,NA  ,NA  
1992,Platform    ,NA  ,NA  
1992,Platform    ,NA  ,NA  
1992,Puzzle      ,NA  ,NA  
1992,Puzzle      ,NA  ,NA  
1992,Puzzle      ,NA  ,NA  
1992,Puzzle      ,NA  ,NA  
1992,Racing      ,NA  ,NA  
1992,Role-Playing,NA  ,NA  
1992,Role-Playing,NA  ,NA  
1992,Role-Playing,NA  ,NA  
1992,Role-Playing,NA  ,NA  
1992,Simulation  ,NA  ,NA  
1992,Sports      ,NA  ,NA  
1992,Sports      ,NA  ,NA  
1993,Action      ,NA  ,NA  
1993,Fighting    ,NA  ,NA  
1993,Fighting    ,NA  ,NA  
1993,Fighting    ,NA  ,NA  
1993,Fighting    ,NA  ,NA  
1993,Fighting    ,NA  ,NA  
1993,Fighting    ,NA  ,NA  
1993,Fighting    ,NA  ,NA  
1993,Platform    ,NA  ,NA  
1993,Platform    ,NA  ,NA  
1993,Platform    ,NA  ,NA  
1993,Platform    ,NA  ,NA  
1993,Platform    ,NA  ,NA  
1993,Platform    ,NA  ,NA  
1993,Platform    ,NA  ,NA  
1993,Platform    ,NA  ,NA  
1993,Puzzle      ,NA  ,NA  
1993,Puzzle      ,NA  ,NA  
1993,Puzzle      ,NA  ,NA  
1993,Role-Playing,NA  ,NA  
1993,Role-Playing,NA  ,NA  
1993,Role-Playing,NA  ,NA  
1993,Role-Playing,NA  ,NA  
1993,Shooter     ,NA  ,NA  
1993,Sports      ,NA  ,NA  
1993,Sports      ,NA  ,NA  
1993,Sports      ,NA  ,NA  
1993,Sports      ,NA  ,NA  
1993,Strategy    ,NA  ,NA  
1994,Action      ,NA  ,NA  
1994,Adventure   ,NA  ,NA  
1994,Adventure   ,NA  ,NA  
