year,title,length,score,sales,genre
1985,Witness,7,70,68,Crime
1985,The Last Dragon,15,64,25,Action
1985,Friday the 13th: A New Beginning,32,51,21,Horror
1985,Ladyhawke,9,68,18,Adventure
1985,Red Sonja,9,50,6,Adventure
1985,The Return of the Living Dead,29,73,14,Comedy
1985,Rambo: First Blood Part II,26,63,300,Action
1985,A View to a Kill,16,60,152,Adventure
1985,Return to Oz,12,67,11,Adventure
1985,Pale Rider,10,70,41,Romance
1985,Mad Max Beyond Thunderdome,26,59,36,Action
1985,Back to the Future,18,80,381,Adventure
1985,Day of the Dead,15,69,34,Horror
1985,My Beautiful Laundrette,23,66,2,Romance
1985,Commando,8,64,57,Action
1985,A Nightmare on Elm Street Part 2: Freddy's Revenge,50,57,29,Horror
1985,A Room with a View,18,69,20,Drama
1985,The Color Purple,16,77,146,Drama
1985,Out of Africa,13,70,128,Drama
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
1986,Nine 1/2 Weeks,14,58,6,Drama
1986,Highlander,10,68,5,Adventure
1986,Top Gun,7,67,356,Action
1986,Big Trouble in Little China,27,71,11,Action
1986,Aliens,6,77,183,Horror
1986,Howard the Duck,15,51,37,Comedy
1986,Friday the 13th Part VI: Jason Lives,36,57,19,Horror
1986,The Texas Chainsaw Massacre 2,29,59,8,Horror
1986,Stand by Me,11,78,52,Crime
1986,Crocodile Dundee,16,63,328,Adventure
1986,Peggy Sue Got Married,21,59,41,Comedy
1986,The Color of Money,18,67,52,Drama
1986,The Wraith,10,59,3,Romance
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
1986,The Golden Child,16,56,79,Action
1986,Platoon,7,75,138,Drama
1986,Little Shop of Horrors,22,66,38,Horror
1987,A Nightmare on Elm Street 3: Dream Warriors,43,65,44,Horror
1987,Evil Dead II,12,76,5,Horror
1987,Creepshow 2,11,59,14,Horror
1987,Ishtar,6,42,14,Action
1987,Beverly Hills Cop II,20,61,299,Action
1987,The Untouchables,16,76,76,Crime
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
1987,Spaceballs,10,67,38,Comedy
1987,The Living Daylights,20,62,191,Action
1987,Jaws: The Revenge,17,35,51,Adventure
1987,Superman IV: The Quest for Peace,32,41,19,Action
1987,La Bamba,8,68,54,Drama
1987,The Lost Boys,13,68,32,Horror
1987,Hellraiser,10,69,14,Horror
1987,Fatal Attraction,16,66,320,Drama
1987,The Princess Bride,18,76,30,Adventure
1987,From a Whisper to a Scream,26,68,1,Comedy
1987,The Last Emperor,16,74,43,Drama
1987,The Running Man,15,64,38,Action
1987,Wall Street,11,70,43,Crime
1987,"Good Morning, Vietnam",21,71,123,Comedy
1988,Action Jackson,14,49,20,Action
1988,Bloodsport,10,66,11,Action
1988,Beetlejuice,11,71,73,Fantasy
1988,Friday the 13th Part VII: The New Blood,39,53,19,Horror
1988,Crocodile Dundee II,19,55,239,Adventure
1988,Rambo III,9,57,189,Action
1988,Big,3,69,151,Fantasy
1988,Poltergeist III,15,45,14,Horror
1988,Phantasm II,11,63,7,Action
1988,Die Hard,8,75,140,Action
1988,Midnight Run,12,72,38,Adventure
1988,Young Guns,10,66,44,Crime
1988,The Last Temptation of Christ,29,70,8,Drama
1988,A Nightmare on Elm Street 4: The Dream Master,45,58,72,Horror
1988,Halloween 4: The Return of Michael Myers,40,59,17,Horror
1988,Child's Play,12,63,44,Horror
Family,Family,Family,Family,Family,Family
1988,Scrooged,8,67,60,Fantasy
1988,They Live,9,71,13,Action
1988,Twins,5,57,216,Comedy
1988,My Stepmother is an Alien,25,53,13,Comedy
1988,Rain Man,8,76,412,Drama
1988,Dangerous Liaisons,18,70,34,Drama
1988,Talk Radio,10,67,3,Drama
1989,Major League,12,66,49,Comedy
1989,Bill & Ted's Excellent Adventure,32,67,40,Adventure
1989,Pet Sematary,12,64,57,Drama
1989,Road House,10,63,30,Action
1989,Indiana Jones and the Last Crusade,34,76,474,Adventure
1989,Dead Poets Society,18,81,235,Drama
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
1989,Batman,6,70,411,Fantasy
1989,Do the Right Thing,18,76,37,Drama
1989,Licence to Kill,15,59,156,Adventure
1989,When Harry Met Sally...,23,73,92,Comedy
1989,Friday the 13th Part VIII: Jason Takes Manhattan,48,48,14,Horror
1989,The Abyss,9,71,90,Adventure
1989,A Nightmare on Elm Street 5: The Dream Child,44,55,22,Horror
1989,Roger & Me,10,74,6,Documentary
1989,Sea of Love,11,67,110,Drama
1989,Black Rain,10,62,45,Action
