year,x,y,val
1985,0,0,0
1985,1,0,0
1985,2,0,0
1985,3,0,0
1985,4,0,0
1985,5,0,0
1985,6,0,0
1985,7,0,0
1985,8,0,0
1985,9,0,0
1985,0,1,0
1985,1,1,0
1985,2,1,0
1985,3,1,0
1985,4,1,0
1985,5,1,0
1985,6,1,0
1985,7,1,0
1985,8,1,0
1985,9,1,0
1985,0,2,0
1985,1,2,0
1985,2,2,0
1985,3,2,0
1985,4,2,0
1985,5,2,0
1985,6,2,0
1985,7,2,0
1985,8,2,0
1985,9,2,0
1985,0,3,0
1985,1,3,0
1985,2,3,0
1985,3,3,0
1985,4,3,0
1985,5,3,0
1985,6,3,0
1985,7,3,0
1985,8,3,0
1985,9,3,0
1985,0,4,0
1985,1,4,0
1985,2,4,0
1985,3,4,0
1985,4,4,0
1985,5,4,0
1985,6,4,0
1985,7,4,0
1985,8,4,0
1985,9,4,0
1985,0,5,1
1985,1,5,1
1985,2,5,0
1985,3,5,0
1985,4,5,0
1985,5,5,0
1985,6,5,0
1985,7,5,1
1985,8,5,0
1985,9,5,1
1985,0,6,1
1985,1,6,0
1985,2,6,0
1985,3,6,1
1985,4,6,2
1985,5,6,0
1985,6,6,1
1985,7,6,1
1985,8,6,1
1985,9,6,2
1985,0,7,3
1985,1,7,0
1985,2,7,0
1985,3,7,1
1985,4,7,0
1985,5,7,0
1985,6,7,0
1985,7,7,1
1985,8,7,0
1985,9,7,0
1986,0,8,1
1986,0,0,0
1986,1,0,0
1986,2,0,0
1986,3,0,0
1986,4,0,0
1986,5,0,0
1986,6,0,0
1986,7,0,0
1986,8,0,0
1986,9,0,0
1986,0,1,0
1986,1,1,0
1986,2,1,0
1986,3,1,0
1986,4,1,0
1986,5,1,0
1986,6,1,0
1986,7,1,0
1986,8,1,0
1986,9,1,0
1986,0,2,0
1986,1,2,0
1986,2,2,0
1986,3,2,0
1986,4,2,0
1986,5,2,0
1986,6,2,0
1986,7,2,0
1986,8,2,0
1986,9,2,0
1986,0,3,0
1986,1,3,0
1986,2,3,0
1986,3,3,0
1986,4,3,0
1986,5,3,0
1986,6,3,0
1986,7,3,0
1986,8,3,0
1986,9,3,0
1986,0,4,0
1986,1,4,0
1986,2,4,0
1986,3,4,0
1986,4,4,0
1986,5,4,0
1986,6,4,0
1986,7,4,0
1986,8,4,0
1986,9,4,0
1986,0,5,0
1986,1,5,1
1986,2,5,0
1986,3,5,0
1986,4,5,0
1986,5,5,1
1986,6,5,1
1986,7,5,1
1986,8,5,1
1986,9,5,3
1986,0,6,0
1986,1,6,0
1986,2,6,0
1986,3,6,1
1986,4,6,0
1986,5,6,0
1986,6,6,1
1986,7,6,2
1986,8,6,1
1986,9,6,1
1986,0,7,0
1986,1,7,1
1986,2,7,0
1986,3,7,0
1986,4,7,0
1986,5,7,1
1986,6,7,0
1986,7,7,1
1987,8,7,1
1987,0,0,0
1987,1,0,0
1987,2,0,0
1987,3,0,0
1987,4,0,0
1987,5,0,0
1987,6,0,0
1987,7,0,0
1987,8,0,0
1987,9,0,0
1987,0,1,0
1987,1,1,0
1987,2,1,0
1987,3,1,0
1987,4,1,0
1987,5,1,0
1987,6,1,0
1987,7,1,0
1987,8,1,0
1987,9,1,0
1987,0,2,0
1987,1,2,0
1987,2,2,0
1987,3,2,0
1987,4,2,0
1987,5,2,0
1987,6,2,0
1987,7,2,0
1987,8,2,0
1987,9,2,0
1987,0,3,0
1987,1,3,0
1987,2,3,0
1987,3,3,0
1987,4,3,0
1987,5,3,1
1987,6,3,0
1987,7,3,0
1987,8,3,0
1987,9,3,0
1987,0,4,0
1987,1,4,1
1987,2,4,1
1987,3,4,0
1987,4,4,0
1987,5,4,0
1987,6,4,0
1987,7,4,0
1987,8,4,0
1987,9,4,0
1987,0,5,0
1987,1,5,0
1987,2,5,0
1987,3,5,0
1987,4,5,0
1987,5,5,0
1987,6,5,0
1987,7,5,0
1987,8,5,0
1987,9,5,1
1987,0,6,0
1987,1,6,1
1987,2,6,1
1987,3,6,0
1987,4,6,1
1987,5,6,1
1987,6,6,1
1987,7,6,1
1987,8,6,3
1987,9,6,1
1987,0,7,1
1987,1,7,1
1987,2,7,0
1987,3,7,1
1987,4,7,1
1987,5,7,0
1988,6,7,3
1988,0,0,0
1988,1,0,0
1988,2,0,0
1988,3,0,0
1988,4,0,0
1988,5,0,0
1988,6,0,0
1988,7,0,0
1988,8,0,0
1988,9,0,0
1988,0,1,0
1988,1,1,0
1988,2,1,0
1988,3,1,0
1988,4,1,0
1988,5,1,0
1988,6,1,0
1988,7,1,0
1988,8,1,0
1988,9,1,0
1988,0,2,0
1988,1,2,0
1988,2,2,0
1988,3,2,0
1988,4,2,0
1988,5,2,0
1988,6,2,0
1988,7,2,0
1988,8,2,0
1988,9,2,0
1988,0,3,0
1988,1,3,0
1988,2,3,0
1988,3,3,0
1988,4,3,0
1988,5,3,0
1988,6,3,0
1988,7,3,0
1988,8,3,0
1988,9,3,0
1988,0,4,0
1988,1,4,0
1988,2,4,0
1988,3,4,0
1988,4,4,0
1988,5,4,1
1988,6,4,0
1988,7,4,0
1988,8,4,0
1988,9,4,1
1988,0,5,0
1988,1,5,0
1988,2,5,0
1988,3,5,2
1988,4,5,0
1988,5,5,1
1988,6,5,0
1988,7,5,2
1988,8,5,1
1988,9,5,1
1988,0,6,0
1988,1,6,0
1988,2,6,0
1988,3,6,2
1988,4,6,0
1988,5,6,0
1988,6,6,2
1988,7,6,2
1988,8,6,0
1988,9,6,1
1988,0,7,3
1988,1,7,2
1988,2,7,1
1988,3,7,0
1988,4,7,0
1988,5,7,1
1989,6,7,1
1989,0,0,0
1989,1,0,0
1989,2,0,0
1989,3,0,0
1989,4,0,0
1989,5,0,0
1989,6,0,0
1989,7,0,0
1989,8,0,0
1989,9,0,0
1989,0,1,0
1989,1,1,0
1989,2,1,0
1989,3,1,0
1989,4,1,0
1989,5,1,0
1989,6,1,0
1989,7,1,0
1989,8,1,0
1989,9,1,0
1989,0,2,0
1989,1,2,0
1989,2,2,0
1989,3,2,0
1989,4,2,0
1989,5,2,0
1989,6,2,0
1989,7,2,0
1989,8,2,0
1989,9,2,0
1989,0,3,0
1989,1,3,0
1989,2,3,0
1989,3,3,0
1989,4,3,0
1989,5,3,0
1989,6,3,0
1989,7,3,0
1989,8,3,0
1989,9,3,0
1989,0,4,0
1989,1,4,0
1989,2,4,0
1989,3,4,0
1989,4,4,0
1989,5,4,0
1989,6,4,0
1989,7,4,0
1989,8,4,1
1989,9,4,0
1989,0,5,0
1989,1,5,0
1989,2,5,1
1989,3,5,0
1989,4,5,0
1989,5,5,1
1989,6,5,1
1989,7,5,0
1989,8,5,0
1989,9,5,1
1989,0,6,0
1989,1,6,1
1989,2,6,1
1989,3,6,1
1989,4,6,1
1989,5,6,0
1989,6,6,1
1989,7,6,3
1989,8,6,0
1989,9,6,0
1989,0,7,2
1989,1,7,1
1989,2,7,0
